"If you are willing to buy this book for church, please write your name in Column A and drop it off at Room#215 on Sundays",,,,,,,,,,,
,,,,,,,,,,,
Donated By,#,Book Title,Denomination. ,Category by Age,Publisher,New/Used,Unit Price,Qty,Price,Link to Purchase,
,1,The Most Beautiful Images from the Bible: Sharing the Stories with Children,Catholic,5-9,Paulist Press (Catholic),Used,9,1,9,https://www.betterworldbooks.com/product/detail/the-most-beautiful-images-from-the-bible-sharing-the-stories-with-children-9780809167661?shipto=US&curcode=USD&utm_source=google&utm_medium=cpc&utm_campaign=Shopping-Used-Low&utm_content=194484263759&utm_term=&creative=804640276931&device=c&placement=&gad_source=1&gad_campaignid=23739868784&gbraid=0AAAAADMQnG8US0xUpTv4n6mxOr61XJmGJ&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuXRn6Xm2a6kaTUzFcrGvvmXE7B1WEOgylnYRZkko3K3Lla1fu5ItwaApKQEALw_wcB,
,2,We Are Made to Praise! by Esther Ruth Blair,General Christian,0-6,Köehler Books,New,6,1,6,https://www.amazon.com/We-Are-Made-Praise-Psalm/dp/1646634683,
,3,The Lord Is My Shepherd: Psalm 23 for Children - Softcover,General Christian,3-7,Lion Children's Books,Used,5,1,5,https://www.abebooks.com/9780745948591/Lord-Shepherd-Psalm-23-Children-0745948596/plp,
,4,The First Good Shepherd: Psalm 23 for Children,Catholic,3 & up,Paulist Press,New,13,1,13,https://www.amazon.com/First-Good-Shepherd-Martina-Steinkuhler/dp/0809167743,
,5,"ABRAHAM, Father of Nations",General Christian,4-8,Olive Press Publisher,New,11,1,11,https://www.walmart.com/ip/ABRAHAM-Father-of-Nations-Paperback-9780955444555/17036413625?wmlspartner=wlpa&selectedSellerId=0&veh=seo_fpl&cn=google,
,6,Abraham : Father of Our Faith by Cardinal Gianfranco Ravasi,Catholic,8-12,Paulist Press (Catholic),New,20,1,20,https://www.paulistpress.com/Products/6775-3/abraham.aspx?srsltid=AfmBOor7rvGSaCSDNOU_NRLJQNPHmpzn2hhgmn5ST3HsUURFGq6Rmb7Xvbg,
,7,Barnaby the Runaway Sheep,General Christian,4-8,Paraclete Press,New,17,1,17,https://catholic.store/products/barnaby-the-runaway-sheep?variant=46814021484759&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooROlD05iyc4Y0nJFr2b_tiYDar_xOcERI4EcDBdPEmNUjFs0Fpfpg,
,8,The Sparrow Who Fell to the Ground,Catholic,4-10,Sophia Institute Press(Catholic),New,12,1,12,https://www.amazon.com/Sparrow-Who-Fell-Ground/dp/B0D9J5HGJS/ref=sr_1_1?crid=MQ5Z43RGD07J&dib=eyJ2IjoiMSJ9.ALiJCYwpZ_vqne_MdiX0UxXFE-t0txyGILlzH5G2EOn7H2OVAWy_IvZX1WUkWTW5Kg-LOcvXUfGEkgGnDqtt1A.p9eiyoLjAs6CBVa4nnm55tGOx4Z-NvAPzmiL61n5Uk8&dib_tag=se&keywords=The+Sparrow+Who+Fell+to+the+Ground&qid=1785106156&sprefix=the+sparrow+who+fell+to+the+ground%2Caps%2C147&sr=8-1,
,9,Daniel in the Lion's Den,Lutheran - Compatible with catholic teachings,5-9,Concordia Publishing House,New,4,1,4,https://www.christianbook.com/daniel-in-the-lions-den/larry-burgdorf/9780758618573/pd/618573?en=google&event=SHOP&kw=childrens-books-0-20%7C618573&p=1179710&utm_source=google&p=1244755&dv=c&cb_src=google&cb_typ=shopping&cb_cmp=23835087334&cb_adg=195026004863&cb_kyw=&utm_medium=shopping&gad_source=4&gad_campaignid=23835087334&gbraid=0AAAAAD_dTHbyvUW0j-KORu5UOmPEiZMgQ&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBtRPKLfV-gKQDcgtKwaNHA8aLW3NN72ZICLee1FUpRtdzW1x9__Ta4aAqwcEALw_wcB,
,10,God the Father and the Best Day Ever,Catholic,3-7,OSV kids (Catholic),Used,6,1,6,https://www.worldofbooks.com/products/god-the-father-and-the-best-day-ever-book-gracie-jagla-9781681924403?sku=CIN1681924404G&gad_source=4&gad_campaignid=21957266543&gbraid=0AAAAAC04ib2hXUIuMa5klnfF8L2Yxs_5U&gclid=Cj0KCQjw4JbTBhCoARIsALWUaBuwEfHOvYDkRHExU3_lEYzQMptERsP6Zp_FhhV3Cta4L_4F3t3HDsAaAtjqEALw_wcB,
